Date,Close,High,Low,Open,Volume,Daily_Return,MA_7,MA_21,Price_Range,Volume_Change,Target
2020-09-21,2.7825090885162354,3.026940107345581,2.5004189014434814,2.8709030151367188,19492894,-3.0789589949374863,2.880948168890817,3.1995951334635415,0.5265212059020996,111.48171996230998,1
2020-09-22,2.9155189990997314,2.9943699836730957,2.66860294342041,2.7736880779266357,18556523,4.78021477566577,2.8775764533451627,3.131547666731335,0.32576704025268555,-4.80365306454752,0
2020-09-23,2.836756944656372,3.065337896347046,2.746303081512451,2.9303550720214844,16096650,-2.7014762883616927,2.9191990239279613,3.0683231353759766,0.3190348148345947,-13.256109455418997,1
2020-09-24,3.1327149868011475,3.25156307220459,2.795646905899048,2.838120937347412,18993326,10.432971450101668,2.9536048684801375,3.0495314711616155,0.455916166305542,17.995520807124453,1
2020-09-25,3.1886119842529297,3.265165090560913,2.9117720127105713,3.1455440521240234,15935143,1.7842988489948475,2.9651294435773576,3.0325228032611666,0.3533930778503418,-16.10135581308929,0
2020-09-26,3.1347029209136963,3.2039060592651367,3.041266918182373,3.1880300045013428,11018475,-1.6906749270674926,2.980245419910976,3.0580840905507407,0.16263914108276367,-30.854244608912516,1
2020-09-27,3.152946949005127,3.17349910736084,3.0105509757995605,3.133837938308716,9734368,0.5820018212798539,3.020537410463606,3.061269998550415,0.1629481315612793,-11.654126365036898,0
2020-09-28,2.9566779136657715,3.204190969467163,2.9359540939331055,3.152704954147339,10950201,-6.224939350828141,3.0454186711992537,3.062610467274984,0.2682368755340576,12.490107216000057,0
2020-09-29,2.9464330673217773,3.0100948810577393,2.901789903640747,2.9583609104156494,8821253,-0.3464985582853797,3.049834966659546,3.085346471695673,0.10830497741699219,-19.44209060637334,0
2020-09-30,2.897876024246216,2.9793479442596436,2.835669994354248,2.9490740299224854,7767702,-1.6479940988341713,3.0585662637438094,3.050179708571661,0.1436779499053955,-11.943325965143503,0
2020-10-01,2.861027956008911,2.9858338832855225,2.657397985458374,2.8981618881225586,10825966,-1.2715543359688608,3.0197538307734897,3.021188804081508,0.32843589782714844,39.371541287243005,0
2020-10-02,2.6260828971862793,2.8766350746154785,2.4577910900115967,2.864197015762329,15856539,-8.211910629156394,2.939392532621111,2.9830295131320046,0.41884398460388184,46.46765932943073,0
2020-10-03,2.5473029613494873,2.669495105743408,2.5473029613494873,2.6273350715637207,6155891,-2.9999028561208396,2.855478252683367,2.9456315608251664,0.1221921443939209,-61.177587366322506,0
2020-10-04,2.5159950256347656,2.588036060333252,2.428889036178589,2.5430119037628174,7075729,-1.229062117453661,2.7644851207733154,2.9118294715881348,0.15914702415466309,14.942402326486937,1
2020-10-05,2.657644033432007,2.662623882293701,2.467319965362549,2.519134998321533,8105684,5.629939898688963,2.7217659950256348,2.8827109450385686,0.19530391693115234,14.5561679934322,0
2020-10-06,2.1762499809265137,2.6552000045776367,2.1476919651031494,2.6552000045776367,9739071,-18.113563985611513,2.611739839826311,2.8463837532770064,0.5075080394744873,20.151130984134102,1
2020-10-07,2.2917959690093994,2.391937017440796,2.0957601070404053,2.175808906555176,11759752,5.309407884920159,2.5251569747924805,2.8343074208214167,0.2961769104003906,20.74819045882301,1
2020-10-08,2.365220069885254,2.430609941482544,2.0285260677337646,2.2999820709228516,14931922,3.2037799991240457,2.454327276774815,2.8092286586761475,0.4020838737487793,26.97480355027895,1
